,Mkt-RF,SMB,HML,RMW,CMA,RF
20240729,-0.02,-0.99,-0.48,0.65,-0.22,0.02
20240730,-0.49,0.71,1.37,0.41,-1.05,0.02
20240731,1.52,-0.97,-1.34,0.5,1.4,0.02
20240801,-1.61,-1.23,-0.65,0.88,-0.93,0.02
20240802,-2.11,-1.19,-0.76,0.91,0.8,0.02
20240805,-3.02,-0.34,0.01,-0.09,-0.16,0.02
20240806,1,-0.04,-0.57,-0.11,0.27,0.02
20240807,-0.83,-0.46,0.72,0.68,-0.89,0.02
20240808,2.38,0.09,-0.81,-0.55,0.07,0.02
20240809,0.43,-0.76,-0.34,0.23,-0.16,0.02
20240812,-0.08,-0.87,-0.59,0.09,0.4,0.02
20240813,1.69,0.16,-0.74,-0.48,1.07,0.02
20240814,0.3,-1.09,0.24,0.14,0.37,0.02
20240815,1.77,0.96,-0.75,-0.45,0.42,0.02
20240816,0.22,0.04,0.77,-0.24,0.51,0.02
20240819,0.98,0.22,-0.26,-1.03,0.48,0.02
20240820,-0.31,-0.75,-0.65,0.37,-0.65,0.02
20240821,0.51,0.85,-0.64,-0.42,0.19,0.02
20240822,-0.96,-0.24,1.37,0.51,-0.24,0.02
20240823,1.29,1.89,0.84,-0.49,0.71,0.02
20240826,-0.34,0.33,0.19,0.14,-0.05,0.02
20240827,0.05,-0.88,0.02,0.28,0.24,0.02
20240828,-0.66,-0.21,1.15,0.56,-0.18,0.02
20240829,0.07,0.67,0.3,-0.13,-1.21,0.02
20240830,0.98,-0.56,0.05,-0.18,-0.14,0.02
20240903,-2.26,-0.73,1.38,0.63,-0.81,0.02
20240904,-0.22,0.12,-0.58,-0.27,-0.07,0.02
20240905,-0.31,-0.06,-0.69,-0.25,0.01,0.02
20240906,-1.82,-0.08,0.18,0.33,-0.05,0.02
20240909,1.09,-1.06,-0.73,-1.08,0.37,0.02
20240910,0.4,-0.28,-0.83,-0.08,-0.17,0.02
20240911,1.04,-0.65,-1.64,-0.17,0.58,0.02
20240912,0.8,0.46,-0.52,0.39,-0.07,0.02
20240913,0.7,1.9,0.02,-0.3,0.3,0.02
20240916,0.16,0,0.91,0.37,-0.45,0.02
20240917,0.08,0.77,0.55,0.39,-0.32,0.02
20240918,-0.25,0.26,0.27,0.05,-0.37,0.02
20240919,1.77,0.33,-0.2,-0.2,-0.04,0.02
20240920,-0.26,-0.78,-0.63,0.23,-0.35,0.02
20240923,0.21,-0.81,-0.11,0.45,-0.24,0.02
20240924,0.24,-0.12,-0.58,-0.28,0.81,0.02
20240925,-0.29,-0.92,-0.7,-0.05,0.15,0.02
20240926,0.43,0.22,0.43,-0.51,0.55,0.02
20240927,-0.09,0.7,0.56,0.12,-0.06,0.02
20240930,0.36,-0.09,0.15,0.4,-0.02,0.02
20241001,-0.97,-0.65,-0.03,0.79,-0.59,0.02
20241002,0,-0.27,-0.18,-0.5,0.4,0.02
20241003,-0.23,-0.66,0.19,0.46,0.32,0.02
20241004,1.03,0.48,0.28,-0.54,-0.17,0.02
20241007,-0.97,-0.19,0.29,0.08,0.77,0.02
20241008,0.87,-0.75,-1.14,-0.32,0.21,0.02
20241009,0.69,-0.47,0.19,0.15,-0.23,0.02
20241010,-0.2,-0.38,0.09,0.12,0.15,0.02
20241011,0.75,1.27,0.76,-0.98,0,0.02
20241014,0.7,-0.12,-0.32,-0.11,0.47,0.02
20241015,-0.72,0.98,0.51,-0.27,-0.45,0.02
20241016,0.52,1.04,0.54,-0.33,0.66,0.02
20241017,-0.05,-0.09,0.16,0.28,0.07,0.02
20241018,0.36,-0.44,-0.75,-0.58,0.13,0.02
20241021,-0.29,-1.37,-1.2,-0.17,0.43,0.02
20241022,-0.11,-0.26,0.57,0.11,-0.32,0.02
20241023,-0.97,-0.02,1.09,0.27,-0.08,0.02
20241024,0.29,0.08,-0.29,-0.02,-0.34,0.02
20241025,-0.08,-0.27,-0.82,0.07,-0.32,0.02
20241028,0.38,1.34,0.63,-0.59,-0.09,0.02
20241029,0.15,-0.22,-1.08,-0.31,-0.13,0.02
20241030,-0.32,0.17,0.75,0.41,-0.11,0.02
20241031,-1.8,-0.01,0.64,0.42,0.19,0.02
20241101,0.47,0.33,-1.07,-0.37,0.17,0.02
20241104,-0.27,0.69,-0.55,0.18,0.37,0.02
20241105,1.3,0.66,-0.14,-0.4,-0.2,0.02
20241106,2.91,2.66,3.5,-0.11,-1.05,0.02
20241107,0.66,-0.91,-2.76,-0.03,0.22,0.02
20241108,0.43,0.37,-0.51,-0.36,-0.76,0.02
20241111,0.32,1.13,0.84,-0.87,-0.75,0.02
20241112,-0.38,-1.34,0.14,0.58,0.49,0.02
20241113,-0.12,-0.96,0.18,0.37,0.15,0.02
20241114,-0.71,-0.68,0.71,0.71,0.16,0.02
20241115,-1.38,-0.38,1.65,0.17,-0.3,0.02
20241118,0.41,-0.36,-0.03,-0.11,-0.55,0.02
20241119,0.49,0.25,-1.64,-0.93,0.55,0.02
20241120,0.04,0.06,-0.11,0.04,-0.07,0.02
20241121,0.65,0.9,0.29,-0.38,0.64,0.02
20241122,0.53,1.4,0.42,-0.68,-0.63,0.02
20241125,0.41,1.29,0.23,0.07,-0.46,0.02
20241126,0.42,-1.07,-0.67,0.54,-0.35,0.02
20241127,-0.4,0.44,0.47,-0.6,0.1,0.02
20241129,0.54,-0.05,-0.64,-0.05,0.32,0.02
20241202,0.23,0.19,-0.65,0.52,-0.39,0.02
20241203,0.04,-0.78,-0.56,0.36,-0.14,0.02
20241204,0.7,-0.19,-1.26,-1.09,-0.05,0.02
20241205,-0.28,-0.96,0.48,0.54,-0.11,0.02
20241206,0.35,0.39,-1.06,-1.07,-0.7,0.02
20241209,-0.73,0.44,0.13,0.7,-0.03,0.02
20241210,-0.36,0.1,0.14,1.14,-0.71,0.02
20241211,0.87,-0.19,-0.58,-0.07,-0.38,0.02
20241212,-0.62,-0.78,0.41,0.35,0.14,0.02
20241213,-0.05,-0.5,-0.3,0.32,-0.3,0.02
20241216,0.46,0.41,-1.06,-1.11,-0.92,0.02
20241217,-0.49,-0.54,-0.57,0.08,-0.06,0.02
20241218,-3.17,-1.27,0.1,1.06,0.76,0.02
20241219,-0.12,-0.25,-0.01,0.27,0.16,0.02
20241220,1.07,-0.26,0.07,-1.2,0.64,0.02
20241223,0.61,-0.86,-0.19,0.29,0.66,0.02
20241224,1.11,-0.12,-0.06,-0.11,-0.36,0.02
20241226,0.01,1.07,-0.18,-0.42,0.36,0.02
20241227,-1.17,-0.44,0.57,0.39,0.04,0.02
20241230,-1.09,0.25,0.74,0.55,0.14,0.02
20241231,-0.46,0.32,0.72,0.33,0.02,0.02
20250102,-0.16,-0.02,-0.32,-0.64,0.61,0.02
20250103,1.34,0.29,-0.94,-1.26,0.37,0.02
20250106,0.55,-0.61,-0.33,-0.4,0.55,0.02
20250107,-1.18,0.13,0.84,0.21,-1.05,0.02
20250108,0.1,-0.59,-0.12,0.77,-0.02,0.02
20250110,-1.55,-0.82,-0.19,1.16,-0.51,0.02
20250113,0.12,-0.18,1.2,0.76,-0.25,0.02
20250114,0.17,0.77,1.65,0.42,-0.32,0.02
20250115,1.91,0.26,0.09,-0.58,-0.28,0.02
20250116,-0.19,0.15,0.17,-0.38,-0.28,0.02
20250117,0.96,-0.59,0.09,-0.16,0.07,0.02
20250121,0.96,0.99,-1.02,-0.9,0.34,0.02
20250122,0.54,-0.97,-1.22,0.05,0.38,0.02
20250123,0.48,-0.01,-0.26,-0.44,0.3,0.02
20250124,-0.27,0.06,0.68,0.05,-0.6,0.02
20250127,-1.49,0.32,2.52,-0.13,-1.7,0.02
20250128,0.92,-0.52,-1.65,-0.59,0.51,0.02
20250129,-0.42,0.22,0.49,0.41,-0.53,0.02
20250130,0.58,0.34,-0.02,-0.29,0.06,0.02
20250131,-0.53,-0.38,-0.18,-0.39,-0.69,0.02
20250203,-0.82,-0.68,-0.25,-0.22,-0.41,0.02
20250204,0.77,0.81,-0.11,-0.32,-0.32,0.02
20250205,0.39,0.49,0.3,-0.39,1.29,0.02
20250206,0.29,-0.56,0.6,0.34,0.35,0.02
20250207,-0.98,-0.39,-0.02,-0.59,0.14,0.02
20250210,0.66,-0.1,-1.1,-0.09,0.28,0.02
20250211,-0.14,-0.44,1.3,1.49,0.18,0.02
20250212,-0.31,-0.66,-0.65,-0.94,0.03,0.02
20250213,1.1,0.22,-0.17,-0.33,0.38,0.02
20250214,0.02,-0.18,0.47,-0.13,0.75,0.02
20250218,0.25,-0.08,0.28,-0.49,0.16,0.02
20250219,0.09,-0.61,-0.07,0.47,0.17,0.02
20250220,-0.61,-0.54,-0.14,0.56,0.42,0.02
20250221,-1.9,-0.86,0.77,0.59,0.07,0.02
20250224,-0.57,-0.51,1.2,0.79,-0.08,0.02
20250225,-0.58,0.15,0.7,1.49,-0.15,0.02
20250226,0.02,-0.09,-0.33,-0.97,0.53,0.02
20250227,-1.65,-0.24,2.13,0.28,-1,0.02
20250228,1.59,-0.81,0.13,-0.47,0.34,0.02
20250303,-1.92,-0.93,1.08,0.43,-0.88,0.02
20250304,-1.27,0.35,-2.1,-0.21,0.25,0.02
20250305,1.16,0.16,-0.83,-0.71,-0.22,0.02
20250306,-1.92,0.41,0.92,1.55,-0.11,0.02
20250307,0.47,-0.06,-0.33,0.56,0.75,0.02
20250310,-2.9,-0.18,0.72,1.58,0.33,0.02
20250311,-0.63,0.79,-0.13,-1.19,-0.45,0.02
20250312,0.51,-0.44,-0.33,-1.41,0.49,0.02
20250313,-1.49,-0.66,1.42,0.08,0.7,0.02
20250314,2.21,0.2,0.08,-0.72,0.09,0.02
20250317,0.72,0.33,0.14,-0.55,0.04,0.02
20250318,-1.13,0.1,1.03,0.37,-0.18,0.02
20250319,1.2,0.44,-0.41,-0.02,-0.45,0.02
20250320,-0.24,-0.42,0.22,-0.13,0.17,0.02
20250321,0.08,-0.44,-0.71,-0.07,-0.29,0.02
20250324,1.93,0.56,-0.42,-0.56,-0.42,0.02
20250325,0.12,-0.89,0.05,0.17,-0.68,0.02
20250326,-1.22,0.08,1.52,1.11,-0.14,0.02
20250327,-0.42,0.23,0.3,0.29,-0.14,0.02
20250328,-2.07,-0.32,0.4,0.37,0.75,0.02
20250331,0.39,-0.85,0.37,1.18,-0.11,0.02
20250401,0.4,-0.44,0.02,0.67,-0.39,0.02
20250402,0.81,0.82,-0.11,-0.61,-0.4,0.02
20250403,-5.13,-1.63,-0.5,0.06,-0.58,0.02
20250404,-5.92,1.99,-0.24,1.28,-0.15,0.02
20250407,-0.23,-0.74,-0.24,-0.66,0.16,0.02
20250408,-1.67,-1.18,0.97,0.16,-0.3,0.02
20250409,9.65,-0.67,-3.06,-0.67,0.56,0.02
20250410,-3.54,-0.72,-0.14,0.63,-0.53,0.02
20250411,1.76,-0.38,-1.01,-0.07,0,0.02
20250414,0.79,0.16,0.36,-0.64,0.08,0.02
20250415,-0.14,0.11,0.45,-0.87,0.37,0.02
20250416,-2.22,1.13,1.33,0.07,-0.67,0.02
20250417,0.22,0.57,0.74,0.52,-0.29,0.02
20250421,-2.4,0.19,0.68,-0.14,0.14,0.02
20250422,2.56,0.14,0.24,-0.26,-0.25,0.02
20250423,1.75,-0.13,-0.66,-1.1,0.05,0.02
20250424,2.14,-0.04,-0.94,-1.19,0.03,0.02
20250425,0.64,-0.47,-1.15,0.01,-0.16,0.02
20250428,0.08,0.32,0.14,-0.02,-0.17,0.02
20250429,0.58,-0.07,-0.04,-0.32,-0.14,0.02
20250430,0.03,-0.86,-0.6,-0.03,0.08,0.02
20250501,0.59,0.25,-0.29,0.82,-0.35,0.02
20250502,1.56,0.72,0.29,-0.2,0.03,0.02
20250505,-0.66,-0.15,-0.5,0.3,0.09,0.02
20250506,-0.81,-0.33,0.61,1.39,0.21,0.02
20250507,0.4,-0.32,-0.04,-0.36,0.61,0.02
20250508,0.74,1.46,-0.07,-0.94,0.09,0.02
20250509,-0.09,-0.15,0.57,0.42,-0.33,0.02
20250512,3.36,0.3,-1.42,0.21,0.14,0.02
20250513,0.79,-0.3,-0.16,-0.25,0.55,0.02
20250514,0.08,-0.83,-0.87,0.1,0.25,0.02
20250515,0.3,0.13,0.44,0.32,0.65,0.02
20250516,0.74,0.03,-0.43,-0.49,-0.01,0.02
20250519,0.01,-0.49,-0.07,0.16,-0.01,0.02
20250520,-0.37,0.41,-0.12,-0.46,0.02,0.02
20250521,-1.73,-1.06,-0.3,0.72,-0.45,0.02
20250522,-0.01,0.15,-0.42,-0.34,0.34,0.02
20250523,-0.67,0.07,0.39,-0.33,-0.02,0.02
20250527,2.07,0.46,-0.28,0.12,0.39,0.02
20250528,-0.62,-0.44,-0.23,-0.22,0.25,0.02
20250529,0.33,-0.11,0.34,0.11,0.72,0.02
20250530,-0.02,-0.38,-0.21,0.12,-0.76,0.02
20250602,0.38,-0.4,-0.64,-0.53,0.05,0.02
20250603,0.66,0.93,-0.29,-0.28,0.45,0.02
20250604,-0.02,0,-1.25,-0.28,0.22,0.02
20250605,-0.51,0.48,0.1,0.09,-0.08,0.02
20250606,1.07,0.61,0.06,-0.43,0.03,0.02
20250609,0.11,0.48,-0.06,-0.49,-0.05,0.02
20250610,0.5,-0.11,0.3,0.3,-0.04,0.02
20250611,-0.32,-0.21,0.2,-0.18,-0.03,0.02
20250612,0.3,-0.75,-0.01,0.54,-0.22,0.02
20250613,-1.15,-0.98,0.15,0.26,-0.85,0.02
20250616,0.97,0.44,-0.37,-0.54,0.16,0.02
20250617,-0.88,-0.25,-0.05,0.42,-0.39,0.02
20250618,0.03,0.35,0.37,-0.59,0.38,0.02
20250620,-0.22,-0.04,0.45,0,0.4,0.02
20250623,0.93,0.42,-0.11,-0.11,-0.1,0.02
20250624,1.17,0.25,-0.51,-1.06,0.31,0.02
20250625,-0.07,-1.17,-0.06,-0.13,0.86,0.02
20250626,0.88,0.76,0.32,-0.37,-0.03,0.02
20250627,0.46,-0.29,0,0.7,0.15,0.02
20250630,0.49,-0.47,-0.12,-0.35,0.17,0.02
20250701,-0.1,1.45,2.34,0.88,1.53,0.02
20250702,0.56,1.15,-0.06,-0.1,-0.11,0.02
20250703,0.88,0.12,-0.32,-0.41,-0.34,0.02
20250707,-0.84,-0.81,-0.22,0.08,0.07,0.02
20250708,-0.08,1.04,0.39,-0.31,0.32,0.02
20250709,0.63,0.48,-0.8,-0.62,-0.61,0.02
20250710,0.24,0.25,0.65,0.55,0.71,0.02
20250711,-0.44,-0.97,0.35,0.47,-0.46,0.02
20250714,0.21,0.21,-0.35,-0.82,-0.42,0.02
20250715,-0.52,-1.34,-1.5,0.15,-0.45,0.02
20250716,0.38,0.49,-0.42,-0.79,-0.18,0.02
20250717,0.59,0.67,0.16,-0.4,-0.11,0.02
20250718,-0.02,-0.81,0.29,-0.13,0.08,0.02
20250721,0.05,-0.12,0.24,0.25,0.01,0.02
20250722,0.08,1.01,1.1,0.15,0.92,0.02
20250723,0.77,0.83,-0.4,0.09,-0.07,0.02
20250724,-0.03,-1.42,-0.67,0.24,-0.7,0.02
20250725,0.4,-0.14,-0.06,-0.08,0.13,0.02
20250728,0.04,-0.03,-0.39,0.28,-0.57,0.02
20250729,-0.37,-0.92,0.07,0.22,-0.04,0.02
20250730,-0.11,-0.73,-0.84,-0.4,-0.88,0.02
20250731,-0.34,-0.42,-0.76,0.41,-0.84,0.02
20250801,-1.74,-0.54,-0.04,0.11,0.3,0.02
20250804,1.53,0.65,-1.04,-0.4,-0.29,0.02
20250805,-0.42,0.82,0.59,-0.34,0.16,0.02
20250806,0.71,-0.46,-0.63,0.43,-0.59,0.02
20250807,-0.14,-0.35,0.19,0.08,1.12,0.02
20250808,0.69,-0.41,0.08,0.92,-0.27,0.02
20250811,-0.24,0.18,0.02,0.21,-0.1,0.02
20250812,1.25,1.68,0.85,-0.1,-0.03,0.02
20250813,0.39,1.85,0.39,-0.74,0.91,0.02
20250814,-0.09,-1.05,0.56,0.31,-0.4,0.02
20250815,-0.28,-0.14,-0.75,-0.35,0.18,0.02
20250818,0.03,0.34,0.02,-0.16,-0.03,0.02
20250819,-0.7,-0.22,1.59,1.1,1.11,0.02
20250820,-0.28,-0.27,0.18,-0.32,0.14,0.02
20250821,-0.38,0.4,-0.15,-0.35,-0.16,0.02
20250822,1.7,2.25,1.17,-0.58,0.2,0.02
20250825,-0.48,-0.5,0.45,0.47,-0.02,0.02
20250826,0.43,0.25,0.13,-0.47,-0.46,0.02
20250827,0.24,0.48,0.27,0.08,0.12,0.02
20250828,0.35,-0.35,-0.52,-0.61,-0.46,0.02
20250829,-0.68,0.22,0.85,0.05,0.55,0.02
20250902,-0.61,-0.04,0.1,-0.13,0.09,0.02
20250903,0.44,-0.34,-0.51,0.51,-0.32,0.02
20250904,0.87,0.34,0.34,0.7,0.03,0.02
20250905,-0.22,0.67,-0.52,-0.62,0.26,0.02
20250908,0.26,-0.1,-0.63,-0.4,-0.11,0.02
20250909,0.21,-0.76,-0.21,-0.31,-0.52,0.02
20250910,0.36,-0.73,0.31,0.7,-0.53,0.02
20250911,0.86,0.8,0.09,-0.04,0.71,0.02
20250912,-0.16,-1.1,0.04,-0.04,-0.63,0.02
20250915,0.51,-0.1,-0.66,0.06,-0.48,0.02
20250916,-0.09,0,-0.07,-0.21,0.08,0.02
20250917,-0.1,-0.15,0.57,-0.46,0.33,0.02
20250918,0.61,1.46,0.52,-1.54,-0.19,0.02
20250919,0.38,-1.47,-0.76,0.13,-0.36,0.02
20250922,0.43,0.49,-1.15,-0.04,-0.54,0.02
20250923,-0.61,-0.11,0.88,-0.03,0.36,0.02
20250924,-0.34,-0.17,0.99,-0.01,-0.03,0.02
20250925,-0.58,-0.56,0.55,0.39,0,0.02
20250926,0.6,0.39,0.45,-0.3,-0.15,0.02
20250929,0.25,-0.32,-0.75,-0.87,-0.36,0.02
20250930,0.29,-0.26,-0.57,0.43,0.23,0.02
20251001,0.33,-0.06,-0.07,-0.12,0.16,0.02
20251002,0.1,0.28,-0.54,-0.72,-0.19,0.02
20251003,0.03,0.69,0.53,-0.32,0.13,0.02
20251006,0.39,-0.39,-0.44,-1.54,-0.88,0.02
20251007,-0.51,-0.75,0.11,0.17,-0.03,0.02
20251008,0.66,0.54,-0.95,-1.09,-0.56,0.02
20251009,-0.29,-0.22,-0.39,-0.53,-0.68,0.02
20251010,-2.78,-0.53,-0.13,0.73,0.18,0.02
20251013,1.64,0.56,-0.2,-0.56,-0.34,0.02
20251014,-0.06,1.34,1.52,-0.27,0.71,0.02
20251015,0.42,0.35,-0.46,-0.88,-0.05,0.02
20251016,-0.73,-0.92,-1.47,0.89,-0.03,0.02
20251017,0.38,-0.91,0.74,0.54,0.05,0.02
20251020,1.1,0.94,0.5,-1.44,0.02,0.02
20251021,-0.01,-0.2,-0.04,0.5,0.75,0.02
20251022,-0.67,-0.33,0.47,1.16,0.08,0.02
20251023,0.66,0.32,-0.28,-0.32,0.16,0.02
20251024,0.79,0.26,0.28,-0.63,-0.5,0.02
20251027,1.18,-0.81,-1.21,-0.22,-1.19,0.02
20251028,0.18,-0.34,-0.61,0.63,-1.01,0.02
20251029,-0.09,-0.98,-0.81,0.3,-1.37,0.02
20251030,-1.1,0,0.67,-0.26,0.42,0.02
20251031,0.4,-0.07,-0.24,-1.31,0.18,0.02
20251103,0.12,-0.34,0.38,0.2,-0.58,0.02
20251104,-1.26,-0.59,0.9,1.14,0.71,0.02
20251105,0.42,1,-0.18,-0.3,0.9,0.02
20251106,-1.21,-0.79,1.44,1.02,0.51,0.02
20251107,0.13,0.09,0.69,-0.1,0.26,0.02
20251110,1.51,-0.23,-0.85,-0.6,-1.07,0.02
20251111,0.18,0.2,0.31,-0.05,0.61,0.02
20251112,0.03,-0.34,0.39,-0.03,0.24,0.02
20251113,-1.79,-0.28,0.79,1.46,0.63,0.02
20251114,-0.05,0.2,-0.38,-0.56,-1.01,0.02
20251117,-1.03,-0.93,-0.85,0.26,-0.54,0.02
20251118,-0.76,0.71,0.97,-0.53,0.7,0.02
20251119,0.34,-0.46,-0.5,0.5,-0.63,0.02
20251120,-1.58,0.24,0.43,1.14,0.24,0.02
20251121,1.03,1.85,0.74,0.05,0.95,0.02
20251124,1.61,0.05,-0.96,-1.09,-1.57,0.02
20251125,1.04,1.58,0.04,-0.08,0.37,0.02
20251126,0.69,-0.01,-0.07,-0.35,-0.06,0.02
20251128,0.54,-0.36,0.36,-0.73,-0.01,0.02
